Наименование;Артикул;Категория;Состояние;Описание;Цена
Навес на вход в подвал;NAV-004;Навесы;новый;Компактный навес над входом в подвал или цокольный этаж защита от дождя и снега;10000
Навес с отверстием для дымохода;NAV-005;Навесы;новый;Навес над мангальной зоной или печью с отверстием для дымохода каркас профильная труба;20000
Навес на входную зону;NAV-006;Навесы;новый;Козырёк или полноценный навес над входной дверью защита от дождя и снега покраска по RAL;15000
Лестница промышленная металлическая;LES-001;Лестницы;новый;Прямая металлическая лестница для производственных помещений высота любая сварной каркас ступени рифлёные;55000
Лестница многоэтажная металлическая;LES-002;Лестницы;новый;Металлическая лестница на несколько этажей с площадками и поворотами под покраску или отделку;85000
Лестница экстерьерная на второй этаж;LES-003;Лестницы;новый;Наружная металлическая лестница на второй этаж с площадкой перилами покраска антикоррозийная;65000
Лестница компактная на второй этаж;LES-004;Лестницы;новый;Компактная металлическая лестница для небольших помещений узкая с крутым подъёмом;35000
Лестница дизайнерская прямая;LES-005;Лестницы;новый;Прямая дизайнерская лестница из металла под интерьер хай-тек лофт минимализм;60000
Пандус для маломобильных групп;LES-006;Лестницы;новый;Металлический пандус для колясок велосипедов тележек складной или стационарный;25000
Лестница с поворотом;LES-007;Лестницы;новый;Металлическая лестница с поворотом на 90 или 180 градусов забежные ступени или площадка;70000
Крыльцо со ступенями металлическое;LES-008;Лестницы;новый;Металлическое крыльцо со ступенями под покраску или облицовку плиткой деревом камнем;40000
Каркас лестницы металлический;LES-009;Лестницы;новый;Сварной каркас лестницы под отделку деревом плиткой или камнем любой конфигурации;30000
Покраска металла в цеху порошковая;CEH-001;Услуги;новый;Порошковая покраска металлических изделий в цеху устойчивое покрытие до -60 до +150 °C любой цвет RAL;500
Резка металла на ЧПУ;CEH-002;Услуги;новый;Резка листового металла на станке ЧПУ высокая точность минимальные отходы толщина до 20 мм;200
Сварочные работы;CEH-003;Услуги;новый;Сварочные работы любой сложности в цеху и на выезде чёрный металл нержавейка алюминий TIG-сварка;300
Второй этаж с лестницей в ангар;MAL-001;Малоэтажное строительство;новый;Металлоконструкция второго этажа внутри ангара с лестницей под хранение или рабочее помещение;35000
Расширенная входная зона;MAL-002;Малоэтажное строительство;новый;Металлическая входная группа с навесом ступенями перилами под ключ;30000
Теплица арочная из профильной трубы;MAL-003;Малоэтажное строительство;новый;Арочная теплица из профильной трубы под поликарбонат ширина 2-4 м длина любая каркас усиленный;25000
Тамбур входной металлический;MAL-004;Малоэтажное строительство;новый;Металлический каркас тамбура с дверью и окном с утеплением или холодный защита от ветра и снега;45000
Тамбур с вытяжкой;MAL-005;Малоэтажное строительство;новый;Тамбур с вытяжкой для помещений с печью котлом или мангалом металлический каркас;50000
Теплица внутри — стеллажи и полки;OTH-001;Прочее;новый;Металлические стеллажи и полки для теплицы из профильной трубы под горшки инструменты инвентарь;18000
Декоративный мостик металлический;OTH-002;Прочее;новый;Декоративный мостик из металла для сада пруда или зоны отдыха с перилами или без;15000
Полки и лестница для хранения;OTH-003;Прочее;новый;Металлические полки с приставной лестницей для хранения инвентаря инструментов или книг;20000
Ограждения на балконы металлические;OTH-004;Прочее;новый;Металлические ограждения для балконов и террас высота от 1.1 м шаг стоек до 10 см покраска по RAL;1800
Облицовка здания металлом;OTH-005;Прочее;новый;Облицовка фасада здания металлическими панелями или профлистом под ключ;2500
Кованые перила для лестниц;DEC-001;Кованые изделия;новый;Перила из металла с элементами ковки для лестниц балконов террас высота шаг балясин под заказ;3000
Ограждения для террас и веранд;DEC-002;Кованые изделия;новый;Металлические ограждения для открытых террас и веранд строгие или с ковкой;2500
Декоративные решётки на окна;DEC-003;Кованые изделия;новый;Кованые решётки на окна защита и украшение любой размер под заказ;5000
Кованые калитки;DEC-004;Кованые изделия;новый;Калитки из металла с коваными элементами завитки листья наконечники;15000
Стеллажи металлические для гаража;DEC-005;Кованые изделия;новый;Сварные стеллажи из профильной трубы для гаража кладовки мастерской нагрузка до 100 кг на полку;8000
Подставки и кронштейны металлические;DEC-006;Кованые изделия;новый;Металлические подставки под цветы кашпо мангальные принадлежности кронштейны держатели под заказ;1000
